year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2016,Doha,QF,W,Mayer,26.3,43.9,52.4,70.4,35.4,28.9,50.0,52.4,70.4,42.6,53.3,39.1,0.0,21.1,31.6,20.0,-79,hard
2016,Doha,R32,W,Brown,37.5,42.5,60.0,52.6,46.0,36.7,43.3,60.0,52.6,48.0,60.0,46.7,0.0,40.0,40.0,83.3,-79,hard
2015,Tour Finals,F,W,Federer,30.4,37.5,56.4,50.0,34.3,26.3,31.6,56.4,50.0,32.1,58.8,42.9,0.0,38.9,50.0,72.7,-79,hard
2015,Tour Finals,RR,L,Federer,23.1,30.8,42.9,37.8,29.7,21.3,31.9,42.9,37.8,30.4,29.2,47.8,25.0,29.4,29.4,58.3,5,hard
2015,Tour Finals,RR,W,Berdych,22.1,36.8,52.8,56.3,30.4,28.9,48.9,52.8,56.3,41.6,47.8,45.5,0.0,8.7,13.0,47.6,-79,hard
2015,Paris,SF,W,Wawrinka,17.9,28.2,57.8,65.9,25.6,25.5,36.4,57.8,65.9,36.4,60.7,48.1,33.3,0.0,8.7,43.5,-118,hard
2015,Paris,QF,W,Berdych,36.1,48.2,60.8,67.5,43.6,37.5,53.1,60.8,67.5,47.2,50.0,31.6,100.0,35.3,35.3,36.4,80,hard
2015,Paris,R16,W,Simon,23.5,35.3,42.9,54.8,31.3,24.4,41.5,42.9,54.8,37.3,72.2,43.5,33.3,25.0,29.2,22.2,89,hard
2015,Shanghai,F,W,Tsonga,31.7,58.5,75.0,78.9,42.9,34.5,62.1,75.0,78.9,50.3,41.2,66.7,0.0,25.0,50.0,66.7,-79,hard
2015,Shanghai,SF,W,Murray,26.3,31.6,67.9,75.0,30.5,28.6,35.7,67.9,75.0,34.3,33.3,56.3,100.0,20.0,20.0,50.0,-79,hard
2015,Shanghai,QF,W,Tomic,45.6,52.6,46.7,52.9,49.5,55.3,60.5,46.7,52.9,61.1,55.6,45.0,0.0,27.8,38.9,38.5,1,hard
2015,Shanghai,R32,W,Klizan,26.5,40.8,55.6,44.4,32.9,25.0,38.9,55.6,44.4,33.6,66.7,72.2,100.0,30.8,46.2,88.9,-79,hard
2015,Beijing,SF,W,Ferrer,23.1,32.7,50.0,55.2,29.0,25.6,38.5,50.0,55.2,33.6,31.6,60.0,0.0,18.2,18.2,33.3,51,hard
2015,Beijing,R32,W,Bolelli,47.8,54.3,45.8,54.5,50.0,66.7,72.7,45.8,54.5,69.7,54.5,54.5,75.0,0.0,7.7,38.5,-118,hard
2015,US Open,F,W,Federer,20.0,27.7,53.8,54.2,24.9,25.0,33.3,53.8,54.2,32.9,44.9,42.6,62.5,13.0,20.4,53.2,12,hard
2015,US Open,SF,W,Cilic,33.9,37.5,66.7,60.9,40.0,37.8,43.2,66.7,60.9,47.0,33.3,45.5,0.0,27.8,27.8,76.9,1,hard
2015,US Open,QF,W,Lopez,31.6,37.6,60.0,64.4,34.4,33.8,39.7,60.0,64.4,38.5,66.7,45.7,75.0,28.6,34.7,54.3,-79,hard
2015,US Open,R16,W,Bautista,28.5,34.1,48.8,51.0,32.4,36.3,42.5,48.8,51.0,42.4,50.0,38.6,50.0,14.6,19.5,45.7,-9,hard
2015,US Open,R32,W,Seppi,28.6,40.7,61.3,63.2,34.4,37.7,49.2,61.3,63.2,46.4,44.4,32.4,25.0,11.1,25.9,58.3,-8,hard
2015,Cincinnati,F,L,Federer,21.5,36.7,53.4,62.9,30.3,23.9,43.5,53.4,62.9,38.9,60.9,56.5,75.0,20.7,31.0,39.1,82,hard
2015,Cincinnati,SF,W,Dolgopolov,27.2,33.0,52.2,46.3,30.4,33.9,38.7,52.2,46.3,39.2,51.7,51.5,0.0,20.0,28.6,60.7,70,hard
2015,Canada,F,L,Murray,23.6,32.1,46.8,52.2,29.6,28.1,40.6,46.8,52.2,38.1,40.7,45.9,40.0,17.5,20.0,39.4,-7,hard
2015,Canada,QF,W,Gulbis,38.8,41.3,63.6,61.5,41.6,49.0,51.0,63.6,61.5,53.5,33.3,43.3,100.0,25.0,29.2,66.7,109,hard
2015,Canada,R16,W,Sock,29.5,43.2,67.7,68.4,38.2,32.1,46.4,67.7,68.4,45.7,71.4,35.7,0.0,25.0,37.5,66.7,-79,hard
2015,Canada,R32,W,Bellucci,29.5,44.9,59.3,66.7,36.0,32.7,51.0,59.3,66.7,43.1,35.0,34.5,25.0,25.0,35.7,47.6,-27,hard
2015,Wimbledon,F,W,Federer,33.1,40.0,54.2,58.3,38.0,36.8,44.2,54.2,58.3,44.3,41.2,52.5,100.0,26.5,32.7,47.2,-49,grass
2015,Wimbledon,SF,W,Gasquet,26.5,43.9,61.4,67.3,36.2,33.8,51.4,61.4,67.3,46.6,37.5,42.9,66.7,4.5,22.7,47.6,-72,grass
2015,Roland Garros,F,L,Wawrinka,18.0,27.3,50.5,50.8,23.4,24.1,34.9,50.5,50.8,32.4,54.5,36.0,28.6,6.7,13.3,50.0,-79,clay
2015,Roland Garros,SF,W,Murray,19.9,32.6,61.3,58.1,30.6,24.5,41.8,61.3,58.1,39.9,58.1,38.2,0.0,9.8,12.2,67.6,-16,clay
2015,Roland Garros,QF,W,Nadal,16.3,26.3,64.2,68.9,26.6,21.1,33.3,64.2,68.9,35.6,44.0,46.9,50.0,4.3,8.7,54.5,-79,clay
2015,Rome,SF,W,Ferrer,23.3,35.6,57.1,56.8,31.1,24.5,42.9,57.1,56.8,36.1,57.1,53.6,100.0,20.8,20.8,57.9,-79,clay
2015,Monte Carlo,F,W,Berdych,20.6,30.4,52.6,57.4,25.7,21.7,35.0,52.6,57.4,30.3,58.6,45.2,40.0,21.6,27.0,44.8,91,clay
2015,Monte Carlo,SF,W,Nadal,21.1,35.1,60.0,64.7,28.2,20.9,37.2,60.0,64.7,30.5,45.8,47.4,33.3,21.4,28.6,45.5,-79,clay
2015,Miami,F,W,Murray,19.6,26.1,52.9,53.3,26.8,19.6,28.6,52.9,53.3,31.6,46.2,36.7,25.0,21.9,25.0,52.0,89,hard
2015,Indian Wells,F,W,Federer,27.7,36.6,58.8,62.2,33.5,39.3,52.5,58.8,62.2,48.9,27.3,51.3,87.5,11.4,14.3,54.8,-8,hard
2015,Indian Wells,SF,W,Murray,18.2,32.7,60.5,54.2,28.0,22.6,41.9,60.5,54.2,40.0,57.1,41.2,0.0,13.6,22.7,68.4,19,hard
2015,Indian Wells,R32,W,Ramos,27.4,38.7,64.3,63.6,36.5,40.5,51.4,64.3,63.6,55.7,47.1,40.0,0.0,9.1,22.7,65.0,-30,hard
2015,Dubai,F,L,Federer,25.8,33.9,52.3,55.6,29.2,30.8,38.5,52.3,55.6,36.2,36.8,35.0,100.0,19.0,28.6,47.1,53,hard
2015,Dubai,QF,W,Ilhan,35.7,38.1,61.5,73.3,39.8,44.4,48.1,61.5,73.3,50.7,50.0,46.7,0.0,21.4,21.4,45.5,22,hard
2015,Australian Open,F,W,Murray,17.6,28.7,52.3,48.4,25.1,21.0,37.0,52.3,48.4,33.5,58.1,50.0,66.7,13.0,16.7,57.4,-52,hard
2015,Australian Open,SF,W,Wawrinka,26.7,35.6,55.2,58.1,33.6,28.7,39.1,55.2,58.1,39.4,32.5,57.4,33.3,24.4,31.1,50.0,16,hard
2015,Australian Open,R16,W,Muller,38.0,53.3,67.9,67.6,46.0,43.1,60.0,67.9,67.6,54.3,42.9,56.8,0.0,30.4,43.5,68.8,145,hard
2015,Australian Open,R32,W,Verdasco,35.2,53.8,66.1,69.2,46.3,40.9,60.6,66.1,69.2,56.2,56.0,56.1,0.0,20.0,36.0,60.0,-79,hard
2015,Doha,R32,W,Lajovic,20.0,34.0,57.9,59.3,27.6,22.9,34.3,57.9,59.3,33.7,56.3,57.9,33.3,15.4,38.5,54.5,29,hard
2014,Paris,F,W,Raonic,28.6,37.5,62.5,70.4,34.3,35.7,45.2,62.5,70.4,43.3,50.0,50.0,0.0,7.1,14.3,46.2,-79,hard
2014,Paris,SF,W,Nishikori,45.8,52.1,50.0,56.3,51.5,55.6,63.9,50.0,56.3,63.1,26.7,33.3,33.3,16.7,16.7,40.0,-79,hard
2014,Shanghai,SF,L,Federer,20.8,36.4,47.5,47.5,25.5,24.5,35.8,47.5,47.5,31.3,37.5,37.9,50.0,12.5,37.5,47.6,-79,hard
2014,Shanghai,R32,W,Thiem,34.5,56.4,65.7,66.7,44.9,42.9,64.3,65.7,66.7,56.4,41.2,52.0,50.0,8.3,33.3,63.6,-33,hard
2014,Beijing,F,W,Berdych,35.6,51.1,50.0,50.0,44.7,37.5,59.4,50.0,50.0,50.3,30.8,31.6,0.0,33.3,33.3,50.0,37,hard
2014,Beijing,SF,W,Murray,25.8,29.0,60.9,59.3,30.5,22.9,25.7,60.9,59.3,31.1,42.9,64.3,0.0,29.6,33.3,63.2,-79,hard
2014,US Open,SF,L,Nishikori,38.4,48.2,41.5,58.1,43.0,53.0,65.2,41.5,58.1,60.9,50.0,50.0,33.3,19.0,26.2,26.5,53,hard
2014,US Open,QF,W,Murray,27.6,37.5,47.7,50.0,32.8,32.0,44.3,47.7,50.0,40.0,50.0,49.1,30.0,21.2,26.9,43.9,3,hard
2014,Canada,R16,L,Tsonga,24.5,34.7,38.9,40.9,29.8,29.0,41.9,38.9,40.9,37.4,62.5,66.7,100.0,17.6,23.5,35.7,5,hard
2014,Wimbledon,F,W,Federer,32.2,47.1,57.4,54.7,38.8,40.7,56.5,57.4,54.7,51.4,44.4,36.5,0.0,19.0,33.3,60.8,-10,grass
2014,Wimbledon,SF,W,Dimitrov,33.8,45.5,52.1,54.8,40.1,39.8,50.5,52.1,54.8,48.6,55.8,40.0,28.6,20.0,35.0,46.9,-7,grass
2014,Wimbledon,QF,W,Cilic,38.6,48.5,50.0,46.7,43.9,50.0,58.9,50.0,46.7,57.8,41.7,46.3,66.7,17.1,31.4,55.2,40,grass
2014,Wimbledon,R64,W,Stepanek,35.8,48.0,55.9,61.8,42.9,46.1,60.8,55.9,61.8,56.4,54.8,48.3,66.7,13.6,20.5,47.4,-13,grass
2014,Roland Garros,F,L,Nadal,16.7,27.0,52.9,64.1,25.6,22.0,37.8,52.9,64.1,35.7,35.9,48.8,33.3,7.1,7.1,35.9,-45,clay
2014,Roland Garros,SF,W,Gulbis,28.8,41.4,55.1,68.8,37.8,35.1,54.1,55.1,68.8,48.6,40.0,41.0,66.7,16.7,16.7,33.3,-38,clay
2014,Rome,SF,W,Raonic,23.7,36.0,60.5,63.5,30.5,22.2,37.0,60.5,63.5,31.9,38.2,53.2,50.0,28.1,34.4,52.2,-33,clay
2014,Monte Carlo,SF,L,Federer,23.7,27.1,47.7,46.7,28.5,25.0,30.0,47.7,46.7,32.0,31.6,28.6,0.0,22.2,22.2,50.0,1,clay
2014,Miami,F,W,Nadal,32.7,44.9,66.7,75.0,42.7,33.3,47.2,66.7,75.0,46.9,38.9,44.4,0.0,30.8,38.5,44.4,-79,hard
2014,Miami,QF,W,Murray,31.8,43.9,57.1,58.1,38.2,35.4,47.9,57.1,58.1,44.2,52.4,44.4,50.0,26.7,40.0,54.5,126,hard
2014,Indian Wells,F,W,Federer,26.0,37.5,59.1,63.4,32.7,33.9,46.8,59.1,63.4,44.2,46.2,41.7,100.0,13.8,24.1,52.0,11,hard
2014,Indian Wells,SF,W,Isner,33.7,41.3,52.5,57.9,38.9,39.7,49.2,52.5,57.9,47.3,54.2,38.5,50.0,22.2,25.9,42.9,25,hard
2014,Dubai,SF,L,Federer,36.0,43.0,45.3,39.3,41.2,47.2,54.7,45.3,39.3,55.5,40.0,50.0,66.7,19.4,25.8,52.0,13,hard
2014,Australian Open,QF,L,Wawrinka,28.5,37.5,55.9,56.5,36.0,34.3,44.8,55.9,56.5,44.7,49.0,53.6,40.0,13.2,18.4,54.5,-40,hard
2013,Tour Finals,F,W,Nadal,25.9,41.4,58.1,47.8,32.1,39.5,55.3,58.1,47.8,48.9,59.1,37.5,100.0,0.0,15.0,70.0,-118,hard
2013,Tour Finals,SF,W,Wawrinka,24.5,30.6,64.9,64.0,30.0,24.2,33.3,64.9,64.0,32.4,50.0,52.6,100.0,25.0,25.0,66.7,-79,hard
2013,Tour Finals,RR,W,Gasquet,30.7,39.6,53.7,52.6,36.1,40.6,48.4,53.7,52.6,49.2,48.0,51.3,50.0,14.7,26.5,55.2,31,hard
2013,Tour Finals,RR,W,Federer,27.7,36.6,50.0,52.9,32.0,39.3,48.2,50.0,52.9,47.0,40.9,55.9,66.7,14.3,23.8,47.2,-10,hard
2013,Paris,F,W,Ferrer,20.3,35.9,63.3,69.2,30.2,27.8,52.8,63.3,69.2,45.3,72.7,48.0,33.3,11.5,15.4,56.5,0,hard
2013,Paris,SF,W,Federer,35.9,43.5,50.0,52.8,41.2,40.0,48.3,50.0,52.8,48.2,55.6,63.6,33.3,33.3,40.7,44.4,158,hard
2013,Paris,QF,W,Wawrinka,20.6,31.7,60.0,60.7,27.5,26.3,39.5,60.0,60.7,37.6,21.4,45.8,25.0,12.0,20.0,59.1,-79,hard
2013,Shanghai,F,W,del,29.4,47.1,60.0,68.4,39.8,33.3,57.9,60.0,68.4,48.8,38.5,61.3,100.0,21.4,25.0,45.5,-79,hard
2013,Shanghai,SF,W,Tsonga,30.0,38.3,52.5,46.2,34.3,33.3,43.6,52.5,46.2,40.0,65.0,42.1,0.0,26.3,31.6,64.3,65,hard
2013,Shanghai,R32,W,Granollers,31.1,35.6,58.6,64.3,36.0,46.2,53.8,58.6,64.3,54.6,50.0,37.5,0.0,11.8,11.8,53.3,-2,hard
2013,US Open,F,L,Nadal,15.7,25.5,47.6,45.5,22.1,21.4,31.4,47.6,45.5,30.7,50.0,34.2,40.0,3.3,13.3,51.7,-84,hard
2013,US Open,SF,W,Wawrinka,22.3,28.8,57.8,58.0,27.6,25.8,31.2,57.8,58.0,33.7,28.6,35.3,50.0,17.5,27.5,57.6,49,hard
2013,US Open,R128,W,Berankis,45.2,49.3,44.7,35.0,48.1,59.2,65.3,44.7,35.0,63.5,45.5,48.1,33.3,18.2,18.2,55.6,-13,hard
2013,Canada,SF,L,Nadal,30.6,41.8,55.7,50.0,35.9,40.6,53.1,55.7,50.0,48.8,53.6,36.1,50.0,14.8,25.9,65.2,11,hard
2013,Canada,QF,W,Gasquet,47.7,56.8,59.1,52.9,53.6,50.0,61.8,59.1,52.9,57.6,53.3,57.9,50.0,44.4,44.4,80.0,-79,hard
2013,Canada,R32,W,Mayer,24.6,45.6,57.1,58.3,33.5,31.4,57.1,57.1,58.3,46.0,46.7,55.0,100.0,14.3,28.6,55.6,-10,hard
2013,Wimbledon,F,L,Murray,15.2,23.8,45.2,49.1,23.6,17.9,29.9,45.2,49.1,31.0,47.1,54.5,71.4,12.1,15.2,37.9,1,grass
2013,Wimbledon,SF,W,del,31.1,46.3,56.7,70.3,42.0,40.3,58.1,56.7,70.3,56.0,28.0,56.8,100.0,9.8,19.6,34.8,-22,grass
2013,Roland Garros,SF,L,Nadal,14.9,25.1,54.4,58.2,24.1,16.0,29.8,54.4,58.2,28.4,52.3,39.4,50.0,11.9,11.9,43.2,-10,clay
2013,Monte Carlo,F,W,Nadal,11.1,23.8,56.6,53.1,18.7,17.9,33.3,56.6,53.1,30.3,57.9,20.0,50.0,0.0,9.5,61.9,-118,clay
2013,Miami,R16,L,Haas,20.6,23.5,41.5,38.9,22.9,20.0,24.4,41.5,38.9,23.6,45.5,47.8,75.0,22.7,22.7,47.1,-13,hard
2013,Miami,R32,W,Devvarman,30.2,45.3,62.9,84.2,37.7,38.7,64.5,62.9,84.2,51.6,60.0,56.3,100.0,20.0,20.0,37.5,59,hard
2013,Indian Wells,SF,L,del,17.5,24.7,51.3,47.6,22.0,28.8,37.3,51.3,47.6,36.1,64.0,38.2,57.1,0.0,5.6,55.6,-118,hard
2013,Indian Wells,R32,W,Dimitrov,40.0,54.5,60.0,55.6,48.0,51.4,62.2,60.0,55.6,63.2,50.0,38.1,0.0,20.0,46.7,66.7,65,hard
2013,Dubai,F,W,Berdych,29.9,40.3,57.8,67.9,36.1,40.4,53.2,57.8,67.9,49.4,40.9,32.0,0.0,5.6,11.1,41.2,-63,hard
2013,Dubai,SF,W,del,30.1,43.8,66.0,65.6,41.2,36.0,54.0,66.0,65.6,52.2,26.1,44.4,100.0,18.2,22.7,66.7,-13,hard
2013,Dubai,R16,W,Bautista,36.5,46.2,58.1,52.9,41.5,50.0,61.8,58.1,52.9,57.6,54.5,65.2,100.0,12.5,18.8,64.3,4,hard
2013,Australian Open,F,W,Murray,20.9,34.3,66.0,63.1,28.4,27.0,42.7,66.0,63.1,38.2,52.4,51.1,100.0,9.5,19.0,71.1,-20,hard
2013,Australian Open,QF,W,Berdych,28.9,44.3,65.2,66.7,38.8,35.4,53.8,65.2,66.7,50.2,53.3,40.0,50.0,17.2,27.6,62.5,19,hard
2013,Australian Open,R16,W,Wawrinka,25.6,34.4,55.4,58.4,33.5,31.0,41.9,55.4,58.4,42.9,52.5,35.3,16.7,16.7,21.7,50.0,37,hard
2013,Australian Open,R32,W,Stepanek,25.9,41.2,72.6,78.4,36.6,33.9,53.6,72.6,78.4,50.2,37.0,44.8,100.0,10.7,17.9,64.0,-27,hard
2013,Australian Open,R128,W,Mathieu,46.8,59.7,66.7,65.2,52.2,52.1,64.6,66.7,65.2,60.8,52.0,39.1,100.0,40.7,55.6,68.8,25,hard
2012,Tour Finals,F,W,Federer,21.4,33.7,48.0,50.0,27.0,26.5,42.6,48.0,50.0,34.6,40.7,41.5,50.0,10.7,14.3,44.0,-8,hard
2012,Tour Finals,SF,W,del,27.1,36.5,55.7,70.0,31.5,40.0,48.0,55.7,70.0,47.6,40.9,53.6,66.7,8.8,20.6,41.9,-36,hard
2012,Tour Finals,RR,W,Murray,18.1,29.8,62.3,72.1,27.4,24.6,38.6,62.3,72.1,40.0,40.7,43.3,60.0,8.1,16.2,50.0,-79,hard
2012,Paris,R32,L,Querrey,32.6,43.5,47.3,58.6,39.6,45.3,60.4,47.3,58.6,57.4,50.0,48.5,33.3,18.8,25.0,34.6,51,hard
2012,Shanghai,F,W,Murray,27.9,37.5,47.9,51.3,33.3,37.1,53.2,47.9,51.3,46.1,41.7,23.7,50.0,15.8,15.8,43.8,39,hard
2012,Shanghai,SF,W,Berdych,41.1,48.2,60.0,68.2,49.1,47.6,54.8,60.0,68.2,58.3,42.1,56.5,100.0,27.3,36.4,37.5,118,hard
2012,Beijing,F,W,Tsonga,25.8,36.4,57.4,61.3,34.1,20.5,33.3,57.4,61.3,34.6,40.0,63.2,33.3,36.0,44.0,50.0,33,hard
2012,US Open,F,L,Murray,16.4,21.8,47.3,48.8,22.4,22.3,30.1,47.3,48.8,32.0,41.2,32.7,80.0,7.5,9.4,44.9,-42,hard
2012,US Open,QF,W,del,26.1,38.6,63.5,74.2,33.3,38.0,56.0,63.5,74.2,50.6,47.6,41.4,50.0,11.1,16.7,53.1,-2,hard
2012,Cincinnati,F,L,Federer,26.2,34.4,50.0,45.5,29.7,37.1,45.7,50.0,45.5,43.1,50.0,42.1,0.0,14.3,23.8,55.6,9,hard
2012,Cincinnati,SF,W,del,27.9,31.1,58.1,54.2,30.5,38.5,43.6,58.1,54.2,42.6,34.8,68.8,100.0,13.6,13.6,63.2,-13,hard
2012,Canada,F,W,Gasquet,23.9,32.6,77.1,81.0,31.3,30.0,36.7,77.1,81.0,41.3,25.0,42.9,100.0,12.5,25.0,71.4,-79,hard
2012,Canada,SF,W,Tipsarevic,24.2,35.5,65.9,85.0,31.0,39.4,57.6,65.9,85.0,52.1,35.7,47.4,33.3,7.7,11.5,50.0,-42,hard
2012,London Olympics,BR,L,del,41.0,47.5,50.0,52.0,50.2,44.4,53.3,50.0,52.0,56.9,54.5,52.2,0.0,31.3,31.3,45.5,-79,grass
2012,London Olympics,SF,L,Murray,23.1,40.0,57.1,60.7,32.8,30.0,52.5,57.1,60.7,45.8,36.8,33.3,50.0,12.5,20.8,52.4,-19,grass
2012,London Olympics,QF,W,Tsonga,38.6,50.9,54.3,65.4,44.9,39.5,53.5,54.3,65.4,47.9,27.8,32.0,50.0,35.7,42.9,22.2,-79,grass
2012,London Olympics,R16,W,Hewitt,36.5,51.8,52.9,64.5,45.8,43.6,63.6,52.9,64.5,58.0,39.3,40.7,100.0,25.9,33.3,35.0,72,grass
2012,Wimbledon,SF,L,Federer,31.3,42.6,51.9,55.3,37.2,36.5,50.0,51.9,55.3,45.7,37.8,54.1,66.7,23.1,30.8,46.7,-5,grass
2012,Roland Garros,F,L,Nadal,13.0,23.6,49.5,50.0,19.4,18.4,32.9,49.5,50.0,28.8,56.4,48.6,60.0,5.1,10.3,48.6,-67,clay
2012,Roland Garros,SF,W,Federer,24.2,34.1,55.2,60.5,28.1,30.6,40.3,55.2,60.5,36.5,50.0,50.0,100.0,11.1,22.2,45.8,-4,clay
2012,Rome,F,L,Nadal,17.6,25.7,50.9,57.1,24.2,25.5,36.2,50.9,57.1,36.0,47.8,29.2,0.0,4.3,8.7,40.9,-77,clay
2012,Rome,SF,W,Federer,22.7,33.3,64.0,75.0,27.6,26.3,36.8,64.0,75.0,34.7,22.2,50.0,100.0,18.5,29.6,50.0,-25,clay
2012,Rome,QF,W,Tsonga,27.6,44.8,56.1,63.0,36.7,37.2,53.5,56.1,63.0,49.5,50.0,52.2,66.7,0.0,21.4,42.9,-118,clay
2012,Madrid,R32,W,Gimeno,46.2,56.9,61.3,72.2,52.8,55.0,67.5,61.3,72.2,65.8,47.4,57.1,100.0,38.1,47.6,46.2,163,clay
2012,Monte Carlo,F,L,Nadal,4.2,10.4,43.5,40.0,9.8,0.0,10.0,43.5,40.0,9.0,66.7,46.7,50.0,11.1,11.1,50.0,-79,clay
