year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2012,Monte Carlo,SF,W,Berdych,24.7,33.0,55.2,53.5,30.2,29.5,41.0,55.2,53.5,38.2,58.6,46.9,40.0,20.0,23.3,58.3,65,clay
2012,Monte Carlo,R16,W,Dolgopolov,37.3,47.8,55.0,60.7,43.9,41.7,50.0,55.0,60.7,50.8,65.2,44.0,100.0,29.4,47.1,41.7,80,clay
2012,Monte Carlo,R32,W,Seppi,33.3,44.4,53.7,60.0,39.2,41.9,53.5,53.7,60.0,50.5,44.4,52.0,0.0,15.8,26.3,43.8,-3,clay
2012,Miami,F,W,Murray,31.0,45.1,58.3,58.6,38.0,37.0,58.7,58.3,58.6,47.8,57.1,52.0,100.0,20.8,20.8,57.9,-19,hard
2012,Miami,SF,W,Monaco,15.4,23.1,66.7,61.5,20.6,18.8,25.0,66.7,61.5,29.4,50.0,66.7,66.7,13.8,24.1,72.0,15,hard
2012,Miami,QF,W,Ferrer,24.3,31.4,52.1,54.2,32.1,35.1,48.6,52.1,54.2,50.0,52.6,55.6,100.0,14.3,14.3,50.0,-27,hard
2012,Indian Wells,SF,L,Isner,31.5,42.3,60.8,65.2,38.3,36.1,48.6,60.8,65.2,46.5,52.0,44.7,50.0,24.3,32.4,53.6,-1,hard
2012,Dubai,SF,L,Murray,22.0,34.0,46.2,54.2,30.4,29.4,47.1,46.2,54.2,41.8,35.0,50.0,100.0,6.3,6.3,33.3,-79,hard
2012,Australian Open,F,W,Nadal,22.3,31.9,57.3,54.3,27.7,28.3,38.9,57.3,54.3,36.3,50.0,24.6,25.0,10.4,18.8,62.8,-19,hard
2012,Australian Open,SF,W,Murray,19.9,25.7,49.6,55.7,24.2,24.0,33.7,49.6,55.7,31.2,54.2,41.1,18.2,14.8,14.8,40.4,30,hard
2012,Australian Open,QF,W,Ferrer,18.7,30.8,62.2,61.8,24.1,27.7,38.3,62.2,61.8,38.1,45.8,39.1,100.0,9.1,22.7,62.5,-79,hard
2012,Australian Open,R16,W,Hewitt,30.4,39.2,54.4,55.3,36.1,39.7,52.4,54.4,55.3,48.9,46.7,45.5,100.0,16.7,19.4,53.3,37,hard
2011,Tour Finals,RR,L,Ferrer,33.9,37.3,27.8,35.3,36.6,46.9,53.1,27.8,35.3,51.9,50.0,37.5,50.0,20.8,20.8,21.1,86,hard
2011,Tour Finals,RR,L,Tipsarevic,28.4,37.8,52.9,58.6,35.0,39.6,50.0,52.9,58.6,49.8,37.5,50.0,0.0,8.3,16.7,45.5,-33,hard
2011,US Open,F,W,Nadal,16.5,27.6,50.5,57.4,25.1,19.0,32.1,50.5,57.4,32.0,54.3,32.7,37.5,11.9,19.0,37.8,-44,hard
2011,US Open,SF,W,Federer,29.3,39.3,63.4,72.5,33.0,37.8,47.6,63.4,72.5,44.1,58.1,43.1,0.0,19.2,30.8,52.4,72,hard
2011,US Open,R64,W,Berlocq,25.0,37.5,54.8,52.0,30.5,32.4,45.9,54.8,52.0,40.8,57.9,50.0,100.0,10.5,21.1,58.8,-79,hard
2011,Cincinnati,F,L,Murray,10.0,22.0,40.9,46.4,18.6,15.2,30.3,40.9,46.4,28.2,57.9,57.1,33.3,0.0,6.3,31.3,-118,hard
2011,Cincinnati,SF,W,Berdych,36.7,43.3,62.5,66.7,46.0,40.0,50.0,62.5,66.7,54.0,58.3,50.0,100.0,42.9,42.9,50.0,212,hard
2011,Canada,F,W,Fish,26.0,34.4,52.2,52.6,29.9,37.7,45.9,52.2,52.6,43.8,32.1,66.7,33.3,6.1,15.2,51.6,-55,hard
2011,Wimbledon,F,W,Nadal,30.5,40.0,53.8,55.8,37.4,37.7,47.8,53.8,55.8,47.1,48.6,38.2,0.0,12.0,20.0,50.0,-21,grass
2011,Wimbledon,SF,W,Tsonga,30.8,45.0,63.4,66.0,38.4,32.9,46.8,63.4,66.0,44.4,40.5,52.4,100.0,27.5,42.5,58.6,-42,grass
2011,Roland Garros,SF,L,Federer,19.0,29.2,51.5,48.3,25.8,23.0,33.6,51.5,48.3,33.1,37.3,50.0,40.0,11.3,20.8,57.4,-24,clay
2011,Rome,F,W,Nadal,8.2,24.6,60.0,62.5,18.7,11.1,28.9,60.0,62.5,25.3,73.7,34.6,100.0,0.0,13.3,53.3,-118,clay
2011,Rome,SF,W,Murray,11.5,15.6,56.6,60.7,17.3,13.8,20.0,56.6,60.7,22.5,41.4,61.1,75.0,6.9,6.9,48.1,-47,clay
2011,Madrid,F,W,Nadal,10.3,24.1,58.8,64.3,20.9,15.2,30.3,58.8,64.3,33.6,53.3,50.0,66.7,4.2,16.7,52.2,-74,clay
2011,Madrid,SF,W,Bellucci,27.5,36.3,54.4,51.5,32.8,35.3,47.1,54.4,51.5,43.5,60.9,39.3,0.0,14.3,17.9,58.3,-27,clay
2011,Madrid,R32,W,Anderson,23.6,34.5,70.3,76.0,29.3,30.6,44.4,70.3,76.0,39.2,56.3,60.0,100.0,14.3,21.4,58.3,19,clay
2011,Belgrade,F,W,Lopez,20.5,30.8,64.8,73.5,26.5,24.4,40.0,64.8,73.5,34.9,45.0,36.0,0.0,20.0,24.0,50.0,59,hard
2011,Miami,F,W,Nadal,18.9,38.9,61.0,58.1,27.8,20.4,42.6,61.0,58.1,35.9,56.5,48.4,50.0,17.1,34.1,64.7,-79,hard
2011,Miami,SF,W,Fish,29.3,43.1,51.2,63.0,36.4,34.1,51.2,51.2,63.0,44.1,50.0,52.2,33.3,17.6,23.5,28.6,-79,hard
2011,Indian Wells,F,W,Nadal,22.5,39.3,59.4,64.1,31.8,27.8,51.9,59.4,64.1,43.1,56.5,51.6,0.0,16.7,23.3,52.0,44,hard
2011,Indian Wells,SF,W,Federer,27.1,32.9,48.3,46.2,31.5,31.6,38.6,48.3,46.2,38.2,28.6,65.5,100.0,20.8,25.0,52.6,78,hard
2011,Australian Open,F,W,Murray,20.0,26.7,58.3,55.3,23.5,26.9,34.6,58.3,55.3,31.9,56.5,51.7,33.3,4.3,8.7,63.6,-79,hard
2011,Australian Open,SF,W,Federer,24.0,33.6,55.6,61.0,31.4,31.4,43.0,55.6,61.0,42.1,37.2,32.6,25.0,11.4,17.1,45.2,-8,hard
2011,Australian Open,QF,W,Berdych,29.7,37.4,56.5,69.4,37.7,41.0,49.2,56.5,69.4,53.0,37.9,43.8,100.0,7.1,14.3,38.5,-42,hard
2010,Tour Finals,SF,L,Federer,19.3,24.6,41.9,46.4,25.1,17.6,26.5,41.9,46.4,27.4,50.0,38.9,75.0,25.0,25.0,33.3,118,hard
2010,Tour Finals,RR,L,Nadal,32.8,39.3,37.5,44.0,37.4,35.9,41.0,37.5,44.0,43.1,17.6,22.7,0.0,28.6,38.1,26.7,-10,hard
2010,Basel,F,L,Federer,28.0,36.6,52.6,45.9,31.2,33.9,41.1,52.6,45.9,38.6,60.0,51.6,80.0,16.7,29.2,65.0,37,hard
2010,Shanghai,SF,L,Federer,18.7,34.7,54.4,52.6,25.6,20.8,37.5,54.4,52.6,31.7,53.8,40.9,66.7,17.4,34.8,57.9,45,hard
2010,US Open,F,L,Nadal,13.3,26.6,53.3,57.0,21.4,17.7,34.4,53.3,57.0,29.8,44.0,28.3,33.3,4.7,11.6,46.3,-71,hard
2010,US Open,SF,W,Federer,21.2,35.1,58.6,56.5,27.8,26.6,41.5,58.6,56.5,37.2,28.6,42.3,0.0,13.0,25.9,61.7,1,hard
2010,US Open,QF,W,Monfils,12.0,32.0,61.9,64.6,24.8,12.2,33.8,61.9,64.6,29.5,48.6,45.9,42.9,13.6,31.8,52.6,9,hard
2010,US Open,R32,W,Blake,36.2,46.8,52.6,48.8,43.5,40.3,52.8,52.6,48.8,49.9,35.5,43.9,0.0,26.3,31.6,64.3,-3,hard
2010,Cincinnati,QF,L,Roddick,22.6,37.1,51.1,48.3,32.1,19.4,38.9,51.1,48.3,35.8,30.8,52.2,25.0,30.4,39.1,56.3,42,hard
2010,Canada,SF,L,Federer,21.2,28.0,43.3,44.4,24.8,22.2,28.4,43.3,44.4,27.5,31.7,40.0,33.3,20.6,29.4,40.7,44,hard
2010,Wimbledon,SF,L,Berdych,26.1,38.6,59.6,61.4,33.2,31.3,46.9,59.6,61.4,40.9,30.8,50.0,50.0,18.8,25.0,53.8,19,grass
2010,Wimbledon,R128,W,Rochus,25.5,38.0,53.3,52.8,31.6,33.8,50.0,53.3,52.8,44.1,41.7,34.1,27.3,17.8,26.7,54.1,36,grass
2010,Monte Carlo,SF,L,Verdasco,9.1,21.2,41.8,44.1,14.5,12.8,28.2,41.8,44.1,22.1,57.9,50.0,40.0,4.5,13.6,38.1,-77,clay
2010,Dubai,F,W,Youzhny,16.8,22.4,55.8,61.0,20.9,25.5,32.7,55.8,61.0,33.5,40.0,51.4,40.0,10.0,15.0,50.0,-33,hard
2010,Australian Open,QF,L,Tsonga,17.9,28.3,57.3,58.8,25.0,20.0,31.0,57.3,58.8,30.3,38.1,60.3,75.0,16.7,27.8,53.3,29,hard
2009,Tour Finals,RR,W,Davydenko,25.0,34.0,52.1,50.0,30.1,33.3,47.6,52.1,50.0,41.4,50.0,51.7,0.0,12.1,12.1,55.2,1,hard
2009,Tour Finals,RR,W,Nadal,16.4,27.4,62.1,71.9,25.6,15.8,28.9,62.1,71.9,33.4,46.2,28.0,0.0,18.8,28.1,50.0,51,hard
2009,Tour Finals,RR,L,Soderling,33.8,38.0,37.0,32.0,36.2,40.5,42.9,37.0,32.0,44.5,33.3,59.3,100.0,25.0,32.1,42.9,-27,hard
2009,Paris,F,W,Monfils,15.3,32.7,65.4,66.7,28.6,13.6,34.8,65.4,66.7,33.3,54.5,42.4,50.0,22.2,33.3,61.9,88,hard
2009,Basel,F,W,Federer,23.5,29.6,60.6,61.4,28.6,27.9,34.4,60.6,61.4,36.1,60.7,45.5,71.4,21.4,28.6,59.1,70,hard
2009,Shanghai,SF,L,Davydenko,16.7,24.2,57.1,52.5,21.0,24.4,34.6,57.1,52.5,31.0,44.1,45.5,25.0,2.5,5.0,64.1,-92,hard
2009,Beijing,F,W,Cilic,22.2,29.2,49.1,55.6,28.2,25.0,35.4,49.1,55.6,34.0,57.1,51.9,42.9,17.4,17.4,36.8,-16,hard
2009,US Open,SF,L,Federer,28.7,43.5,51.3,52.8,37.0,32.1,48.7,51.3,52.8,44.2,38.9,26.2,20.0,24.2,36.4,48.0,85,hard
2009,Cincinnati,F,L,Federer,22.2,29.6,38.7,47.5,27.5,25.9,35.2,38.7,47.5,33.9,43.5,29.0,55.6,15.4,19.2,22.7,-23,hard
2009,Wimbledon,QF,L,Haas,29.0,41.1,59.5,68.9,35.7,37.5,55.6,59.5,68.9,49.0,40.6,67.5,50.0,18.8,22.9,48.7,37,grass
2009,Halle,F,L,Haas,18.6,32.6,55.2,50.0,21.5,27.7,38.3,55.2,50.0,33.0,50.0,55.2,33.3,8.3,27.8,60.6,-33,grass
2009,Madrid,SF,L,Nadal,18.8,33.0,67.0,72.3,25.3,28.8,45.5,67.0,72.3,39.8,44.8,43.2,0.0,4.7,16.3,61.0,-70,clay
2009,Belgrade,F,W,Kubot,31.9,42.0,53.3,50.0,38.1,39.1,50.0,53.3,50.0,48.5,60.0,57.7,40.0,19.0,28.6,58.8,53,hard
2009,Rome,F,L,Nadal,12.1,30.3,50.0,52.9,20.9,12.8,33.3,50.0,52.9,27.7,42.9,44.0,100.0,12.0,28.0,45.5,4,clay
2009,Rome,SF,W,Federer,12.0,25.0,58.5,57.1,17.9,19.2,32.7,58.5,57.1,30.6,60.9,58.6,20.0,4.7,18.6,61.0,-73,clay
2009,Monte Carlo,F,L,Nadal,17.2,25.3,37.7,41.5,23.4,24.1,35.2,37.7,41.5,34.1,26.9,17.9,40.0,6.7,10.0,32.1,-51,clay
2009,Monte Carlo,SF,W,Wawrinka,19.8,28.4,59.0,68.6,24.9,25.5,38.3,59.0,68.6,34.5,33.3,51.7,50.0,12.9,19.4,48.1,8,clay
2009,Miami,F,L,Murray,19.2,28.8,40.7,39.4,25.1,25.0,36.4,40.7,39.4,34.8,40.9,50.0,80.0,12.5,20.8,42.9,-4,hard
2009,Miami,SF,W,Federer,19.2,26.0,60.0,59.0,22.7,23.5,31.4,60.0,59.0,28.6,43.5,39.3,0.0,11.1,16.7,62.5,-18,hard
2009,Davis Cup,RR,L,Ferrer,16.1,28.6,44.3,56.4,26.2,22.5,40.8,44.3,56.4,38.5,43.3,61.0,60.0,5.7,8.6,24.2,-64,hard
2009,Davis Cup,RR,L,Nadal,14.6,26.0,46.2,50.0,21.4,21.4,33.9,46.2,50.0,33.0,46.2,36.7,25.0,5.6,16.7,41.2,-63,hard
2009,Dubai,F,W,Ferrer,15.9,30.2,54.7,60.6,26.8,23.3,44.2,54.7,60.6,39.3,50.0,47.8,0.0,0.0,0.0,45.0,-118,hard
2009,Australian Open,QF,L,Roddick,21.7,28.7,48.2,46.0,28.0,31.5,39.7,48.2,46.0,41.4,52.5,45.5,16.7,5.4,10.8,51.4,-66,hard
2008,Masters Cup,F,W,Davydenko,21.8,38.2,67.5,62.5,29.6,29.4,44.1,67.5,62.5,42.1,55.6,56.3,0.0,11.1,33.3,75.0,-13,hard
2008,Masters Cup,SF,W,Simon,28.3,39.6,53.3,57.1,34.1,37.3,53.7,53.3,57.1,46.4,52.9,63.6,33.3,13.2,15.8,48.5,-40,hard
2008,Bangkok,F,L,Tsonga,24.3,32.9,50.0,55.6,30.4,32.5,45.0,50.0,55.6,43.3,37.5,50.0,0.0,16.0,20.0,42.9,-21,hard
2008,US Open,SF,L,Federer,29.8,42.7,48.8,58.5,38.3,33.8,52.5,48.8,58.5,46.9,50.0,50.0,71.4,25.6,28.2,31.0,93,hard
2008,Beijing Olympics,BR,W,Blake,46.0,66.7,66.7,72.0,55.7,47.9,70.8,66.7,72.0,60.6,52.4,55.6,100.0,42.9,57.1,50.0,22,hard
2008,Beijing Olympics,SF,L,Nadal,30.6,42.4,51.9,53.1,37.3,40.7,57.4,51.9,53.1,51.3,58.3,43.3,66.7,15.4,19.2,50.0,24,hard
2008,Beijing Olympics,QF,W,Monfils,21.0,35.0,53.8,59.6,32.2,24.6,44.9,53.8,59.6,40.9,51.6,39.5,60.0,13.3,13.3,42.3,-30,hard
2008,Cincinnati,F,L,Murray,22.9,29.2,51.5,52.5,27.5,25.9,33.3,51.5,52.5,34.1,45.5,53.1,50.0,22.2,27.8,50.0,91,hard
2008,Canada,QF,L,Murray,17.2,25.0,52.9,57.6,23.1,17.5,27.5,52.9,57.6,27.0,33.3,59.1,75.0,18.2,22.7,44.4,47,hard
2008,Wimbledon,R64,L,Safin,37.1,41.2,43.1,48.4,39.3,50.0,54.8,43.1,48.4,53.4,44.0,56.8,80.0,20.0,24.0,35.0,39,grass
2008,Queen's Club,F,L,Nadal,26.7,35.6,42.4,44.9,35.2,29.0,39.1,42.4,44.9,40.1,38.7,36.8,28.6,19.0,23.8,35.3,-79,grass
2008,Roland Garros,SF,L,Nadal,15.0,36.0,51.2,48.9,24.2,16.7,46.3,51.2,48.9,33.7,47.8,22.6,12.5,13.3,24.4,53.8,-46,clay
2008,Hamburg,SF,L,Nadal,12.9,26.9,46.9,50.0,21.8,16.7,38.3,46.9,50.0,30.5,48.4,48.3,50.0,6.1,6.1,41.9,-79,clay
2008,Rome,F,W,Wawrinka,28.2,38.0,70.0,74.2,37.5,35.4,47.9,70.0,74.2,49.2,47.8,72.0,0.0,13.6,18.2,63.2,-13,clay
2008,Monte Carlo,SF,L,Federer,11.3,19.4,48.1,55.9,19.4,8.1,18.9,48.1,55.9,21.6,47.4,61.1,50.0,18.2,22.7,33.3,58,clay
2008,Monte Carlo,R16,W,Murray,17.8,31.1,62.2,57.1,25.1,30.0,45.0,62.2,57.1,46.5,27.3,55.6,50.0,8.0,20.0,65.2,-79,clay
2008,Indian Wells,F,W,Fish,32.1,38.1,48.2,41.4,35.4,44.2,50.0,48.2,41.4,49.4,63.0,68.0,100.0,12.9,19.4,55.6,-32,hard
2008,Indian Wells,SF,W,Nadal,36.0,48.0,56.3,60.0,40.2,51.6,61.3,56.3,60.0,58.4,50.0,46.7,0.0,10.5,26.3,52.9,-79,hard
2008,Australian Open,F,W,Tsonga,28.7,37.7,61.2,65.9,36.4,35.3,47.1,61.2,65.9,49.1,51.6,51.4,25.0,21.2,26.9,56.1,-23,hard
2008,Australian Open,SF,W,Federer,31.9,44.2,52.3,55.3,37.9,47.9,61.6,52.3,55.3,57.3,57.6,50.0,83.3,3.6,17.9,48.1,-86,hard
2008,Australian Open,R128,W,Becker,35.4,43.0,57.4,69.0,41.5,44.2,55.8,57.4,69.0,53.5,52.2,58.6,100.0,21.7,21.7,38.9,86,hard
2007,Masters Cup,RR,L,Nadal,29.0,36.2,42.9,43.3,37.0,31.8,43.2,42.9,43.3,44.3,52.2,42.9,0.0,24.0,24.0,42.1,-79,hard
2007,Masters Cup,RR,L,Gasquet,12.8,23.4,38.5,33.3,15.3,25.0,25.0,38.5,33.3,30.0,50.0,30.0,50.0,0.0,23.8,42.9,-118,hard
2007,Madrid,SF,L,Nalbandian,37.0,46.9,43.5,51.9,43.6,44.9,59.2,43.5,51.9,55.7,65.2,50.0,100.0,29.6,33.3,31.6,157,clay
2007,Vienna,F,W,Wawrinka,26.1,43.5,67.6,70.8,38.7,25.0,50.0,67.6,70.8,43.1,22.2,56.5,0.0,28.6,28.6,60.0,-79,hard
2007,US Open,F,L,Federer,28.4,41.4,53.9,52.6,34.3,38.7,54.8,53.9,52.6,49.7,33.3,57.1,100.0,19.1,29.8,55.3,65,hard
2007,US Open,SF,W,Ferrer,28.6,36.3,54.8,51.2,33.8,32.8,42.6,54.8,51.2,40.7,31.0,43.8,50.0,22.2,25.9,61.9,72,hard
2007,Canada,F,W,Federer,32.3,41.7,51.6,51.4,37.4,40.3,48.4,51.6,51.4,48.2,44.4,57.1,0.0,19.4,32.3,52.0,55,hard
2007,Canada,SF,W,Nadal,42.3,53.5,56.4,60.9,48.3,50.0,60.9,56.4,60.9,59.3,57.1,32.0,40.0,30.4,43.5,50.0,42,hard
2007,Wimbledon,SF,L,Nadal,15.5,20.7,29.2,33.3,18.3,40.0,50.0,29.2,33.3,48.0,81.8,22.2,0.0,7.7,15.4,25.0,-39,grass
2007,Wimbledon,R16,W,Hewitt,26.4,37.9,53.5,58.4,35.1,35.8,50.8,53.5,58.4,48.3,44.4,65.2,66.7,7.5,12.5,43.2,-45,grass
2007,Roland Garros,SF,L,Nadal,14.7,29.5,43.8,49.1,26.5,16.2,36.8,43.8,49.1,32.6,65.7,33.3,25.0,11.5,11.5,30.4,-23,clay
2007,Rome,QF,L,Nadal,11.9,23.9,43.1,48.8,19.9,14.6,29.2,43.1,48.8,25.6,61.5,45.5,28.6,5.6,11.1,29.4,-60,clay
2007,Estoril,F,W,Gasquet,8.6,22.6,50.7,54.3,15.8,13.2,34.0,50.7,54.3,25.8,39.1,66.7,75.0,3.6,10.7,44.4,-84,clay
2007,Miami,F,W,Canas,20.8,33.3,62.7,57.4,28.0,26.6,40.6,62.7,57.4,37.3,40.7,51.4,33.3,9.7,19.4,71.4,-32,hard
2007,Miami,SF,W,Murray,23.8,23.8,66.7,61.9,29.5,25.0,25.0,66.7,61.9,33.6,69.2,66.7,0.0,25.0,25.0,77.8,118,hard
2007,Miami,QF,W,Nadal,26.2,32.3,56.3,46.7,32.2,33.3,40.0,56.3,46.7,42.0,52.2,50.0,50.0,10.0,15.0,72.2,-79,hard
2007,Indian Wells,F,L,Nadal,23.5,31.4,51.4,62.5,28.8,38.5,50.0,51.4,62.5,48.8,33.3,50.0,0.0,8.7,13.0,42.9,-30,hard
2007,Indian Wells,SF,W,Murray,35.7,45.2,59.3,71.4,41.9,41.7,58.3,59.3,71.4,52.5,20.0,50.0,100.0,27.8,27.8,46.2,-79,hard
2007,Dubai,QF,L,Federer,29.6,37.8,46.9,45.9,34.5,39.3,49.2,46.9,45.9,47.2,54.2,67.6,60.0,15.6,21.9,48.1,35,hard
2007,Australian Open,R16,L,Federer,24.8,30.7,41.9,40.4,27.3,29.9,35.8,41.9,40.4,33.7,64.3,46.2,20.0,15.6,21.9,44.4,10,hard
2007,Australian Open,R128,W,Massu,40.7,54.2,58.8,68.2,51.9,45.0,60.0,58.8,68.2,61.5,66.7,54.5,0.0,33.3,44.4,41.7,1,hard
2007,Adelaide,F,W,Guccione,29.1,42.7,52.1,55.6,34.7,34.8,52.2,52.1,55.6,44.3,57.6,33.3,0.0,26.3,36.8,46.4,127,hard
2006,Madrid,R16,W,Murray,22.2,28.9,54.5,61.8,27.6,32.0,44.0,54.5,61.8,41.6,33.3,51.7,50.0,11.1,11.1,46.9,-5,clay
2006,Metz,F,W,Melzer,34.1,45.5,47.4,51.4,40.7,41.7,55.0,47.4,51.4,51.3,40.7,42.4,100.0,18.5,25.9,40.9,-25,hard
2006,Davis Cup,RR,L,Federer,21.6,28.9,39.7,42.3,27.9,23.5,30.9,39.7,42.3,32.5,50.0,63.2,60.0,19.2,26.9,33.3,29,hard
2006,Roland Garros,QF,L,Nadal,7.7,21.5,49.0,54.1,17.5,11.9,31.0,49.0,54.1,27.1,50.0,27.3,0.0,0.0,8.3,33.3,-118,clay
2006,Monte Carlo,R64,L,Federer,14.9,28.7,53.9,51.9,23.0,13.3,26.7,53.9,51.9,26.0,40.0,65.7,100.0,20.0,36.7,58.3,76,clay
2006,Miami,R64,L,Coria,17.1,28.0,40.3,44.4,23.0,20.0,31.1,40.3,44.4,30.9,30.8,68.4,75.0,16.1,29.0,34.6,31,hard
2005,US Open,R128,W,Monfils,19.0,34.6,54.3,59.6,30.1,21.0,41.2,54.3,59.6,37.6,37.3,41.2,100.0,16.4,23.6,43.5,47,hard
2005,Australian Open,R128,L,Safin,9.1,12.1,27.3,30.3,11.5,15.4,20.5,27.3,30.3,19.5,35.0,52.6,75.0,0.0,0.0,22.7,-118,hard
